FACID,YR,LAT,LON,LLDESC,LLSRC,RDATUM,CDATE
85559,2024,40.141190,101.296250,Section Centroid,LEGAL,83,2009-02-09
85564,2024,40.052043,101.401758,Quarter Quarter Section Centroid,LEGAL,83,2008-07-03
85574,2024,41.310486,103.023790,Quarter Quarter Section Centroid,LEGAL,83,2009-02-23
85575,2024,41.220019,96.588425,drive on Road L,GOOGLE,84,2017-06-06
85578,2024,41.190522,103.512978,Quarter Quarter Section Centroid,LEGAL,83,2009-01-12
85591,2024,40.826660,97.996150,"S sd Anderson,~50'N of main gate to fac,E of Hwy14",GPS-WAAS,83,2007-06-04
85612,2024,41.071005,100.677363,drive,DIG-DOQ,83,2014-02-05
85613,2024,41.236170,96.022979,main drive,GOOGLE,84,2021-02-01
85614,2024,40.996391,98.913925,drive,DIG-DOQ,83,2014-02-05
85615,2024,40.938910,97.311150,entrance from drive,DIG-DOQ,83,2009-02-09
85617,2024,40.938630,96.624630,drive,DIG-DOQ,83,2009-11-06
85637,2024,41.299611,96.330562,main drive,GOOGLE,84,2016-03-02
85676,2024,40.945829,98.037734,north drive,DIG-DOQ,84,2014-12-08
85773,2024,40.816380,96.796450,drive,DIG-DOQ,83,2008-10-30
85780,2024,41.998660,97.354900,along W edge W entrance ~10'north of Old Hwy 8,GPS-WAAS,83,2006-08-08
85814,2024,41.683658,97.982837,drive,GOOGLE,84,2017-01-05
85847,2024,41.184642,96.093634,southernmost drive,GOOGLE,84,2020-02-11
85849,2024,40.871420,98.371640,parking lot on E side of bldg next to office entr,GPS-WAAS,83,2007-06-19
85861,2024,41.567680,98.815480,"plant property entrance, haul road",GPS-WAAS,83,2008-12-18
85870,2024,41.165302,96.044396,parking lot,GOOGLE,84,2025-03-05
85871,2024,41.235712,96.193422,parking lot,GOOGLE,84,2025-03-05
85908,2024,41.161440,96.124530,front door,GPS-WAAS,83,2009-01-23
85911,2024,41.174326,96.021191,Quarter Quarter Section Centroid,LEGAL,83,2008-06-18
85921,2024,41.428190,97.358740,approx loc of sidewalk to bldg loc SW Cnr 25,DIG-DOQ,83,2009-02-10
86000,2024,40.815680,98.607600,entrance to plant at gate on west side S 140 Rd,GPS-WAAS,83,2008-11-26
86026,2024,40.611370,97.601390,drive,DIG-DOQ,83,2013-07-15
86263,2024,41.808180,103.645410,drive,DIG-DOQ,83,2013-03-26
86285,2024,41.264843,96.213104,west sidewalk in front of building,DIG-DOQ,83,2014-02-03
